"1=Left-Cerebellum-Cortex","2=Left-Thalamus-Proper","3=Left-Caudate","4=Left-Putamen","5=Left-Pallidum","6=Left-Hippocampus","7=Left-Amygdala","8=Left-Accumbens-area","9=Left-VentralDC","10=Right-Cerebellum-Cortex","11=Right-Thalamus-Proper","12=Right-Caudate","13=Right-Putamen","14=Right-Pallidum","15=Right-Hippocampus","16=Right-Amygdala","17=Right-Accumbens-area","18=Right-VentralDC","19=ctx-lh-bankssts","20=ctx-lh-caudalanteriorcingulate","21=ctx-lh-caudalmiddlefrontal","22=ctx-lh-cuneus","23=ctx-lh-entorhinal","24=ctx-lh-fusiform","25=ctx-lh-inferiorparietal","26=ctx-lh-inferiortemporal","27=ctx-lh-isthmuscingulate","28=ctx-lh-lateraloccipital","29=ctx-lh-lateralorbitofrontal","30=ctx-lh-lingual","31=ctx-lh-medialorbitofrontal","32=ctx-lh-middletemporal","33=ctx-lh-parahippocampal","34=ctx-lh-paracentral","35=ctx-lh-parsopercularis","36=ctx-lh-parsorbitalis","37=ctx-lh-parstriangularis","38=ctx-lh-pericalcarine","39=ctx-lh-postcentral","40=ctx-lh-posteriorcingulate","41=ctx-lh-precentral","42=ctx-lh-precuneus","43=ctx-lh-rostralanteriorcingulate","44=ctx-lh-rostralmiddlefrontal","45=ctx-lh-superiorfrontal","46=ctx-lh-superiorparietal","47=ctx-lh-superiortemporal","48=ctx-lh-supramarginal","49=ctx-lh-frontalpole","50=ctx-lh-temporalpole","51=ctx-lh-transversetemporal","52=ctx-lh-insula","53=ctx-rh-bankssts","54=ctx-rh-caudalanteriorcingulate","55=ctx-rh-caudalmiddlefrontal","56=ctx-rh-cuneus","57=ctx-rh-entorhinal","58=ctx-rh-fusiform","59=ctx-rh-inferiorparietal","60=ctx-rh-inferiortemporal","61=ctx-rh-isthmuscingulate","62=ctx-rh-lateraloccipital","63=ctx-rh-lateralorbitofrontal","64=ctx-rh-lingual","65=ctx-rh-medialorbitofrontal","66=ctx-rh-middletemporal","67=ctx-rh-parahippocampal","68=ctx-rh-paracentral","69=ctx-rh-parsopercularis","70=ctx-rh-parsorbitalis","71=ctx-rh-parstriangularis","72=ctx-rh-pericalcarine","73=ctx-rh-postcentral","74=ctx-rh-posteriorcingulate","75=ctx-rh-precentral","76=ctx-rh-precuneus","77=ctx-rh-rostralanteriorcingulate","78=ctx-rh-rostralmiddlefrontal","79=ctx-rh-superiorfrontal","80=ctx-rh-superiorparietal","81=ctx-rh-superiortemporal","82=ctx-rh-supramarginal","83=ctx-rh-frontalpole","84=ctx-rh-temporalpole","85=ctx-rh-transversetemporal","86=ctx-rh-insula"
109371.661884914,36313.4807077031,7101.63353551738,29336.4849507893,28080.2358966172,37443.2759744222,16040.4071798365,8133.74232037098,37813.4262078181,64548.8756150864,25232.3823509407,20195.5823491869,41201.0089530405,26002.3209237377,18367.222195358,10122.9807753396,17054.0502013557,40212.0186344744,1082.0214141272,2336.33235967695,4049.71892771393,7431.84121341427,6094.46589727746,11680.5474535725,13970.405896232,12204.6490033862,12270.6050723026,17336.5667016304,22792.7435816159,22134.4520853907,27686.256588228,24730.9542590608,18690.5574852492,386.978546838334,3893.73150106135,5982.34852642298,6499.93946720415,17630.3111528473,22673.2101629656,3384.07495276653,23053.201514334,13485.4276970953,9400.51973022905,26158.0779961335,27250.9438089645,29634.5475914386,13334.1392287253,20760.3975725755,6293.75054888078,11982.5959180743,27165.4897856744,46889.6217950983,2201.51442030855,21213.1334441165,2458.81285352429,2995.0967540826,11452.3940695206,10184.4805446418,5238.13195380289,20094.4485108245,2627.12185999355,10447.7004951329,3923.64387620013,17619.4601399575,15808.2664829483,17973.4008829957,16680.0424975315,5819.30536386324,1688.13148818462,2673.79976621969,4174.62126628181,18032.4186403052,8610.08083720197,8376.71638645441,20794.0076035199,14974.2125874745,6907.59962041548,10124.8124376127,45313.5872840732,26677.9666027295,16309.0461460928,12394.8551389979,8920.70136056835,9411.36937620258,6021.43070176092,29330.1973438831
108982.401000901,36340.6237289202,6997.44252895378,29062.2493137844,27974.0818945579,37279.9604405393,15860.8906317402,8008.0024242815,37090.0192461954,63695.7247292287,25254.3666245067,19794.048783359,39959.3609557226,25441.0499939121,18198.664333033,10160.2517237983,16858.7458055574,39865.392849012,1017.34345654305,1275.98947751045,4234.71282465395,7507.93334332391,6063.3178882827,11540.4766219196,13866.7868687358,12345.571655246,12234.3993954493,17080.5096815722,22230.5780439046,22109.1035331435,27612.0255632312,24435.6116579074,17461.6564832651,265.973417427391,3734.23036527344,5947.32323040161,6413.10072513096,17868.4306397948,21989.206358709,2404.03845056962,22179.4507496092,13667.8581088891,8865.16999441412,25602.6385604185,26733.7562809672,28439.7227151488,12907.4624032136,20447.0574321193,6104.7141896149,11601.2476131674,24307.465591092,46390.0000301702,1614.83336718234,21155.4570610342,1280.50459545078,3187.64674196171,11457.9827703034,10266.7357991151,4994.47756121771,20084.154974025,2605.15369978128,10694.2692018547,3913.73217564437,16950.5913775709,15805.6287001463,17925.0902946795,16447.7810334439,4695.72476817446,1570.74516099817,2661.74860885074,4135.79047833555,18254.8325048184,7598.0999562439,8362.06806132046,20086.4069355078,14473.7078033618,6904.81221374838,9831.47988240446,42191.9475750602,26001.7960373384,16264.664611734,12221.6919579527,8912.64547749254,9472.23018434178,6015.11406597909,29286.376808826
109120.230871073,36357.9223978123,6969.06180435279,29145.9298508118,27756.3634035215,37254.8255814812,15965.0073810116,8081.15684838583,37501.6975823082,63991.2290567858,25221.5276179095,19768.6790965727,40579.9218387213,25637.0518512982,18119.226804866,10166.9776494253,16971.0862452707,39718.0615516026,1065.39451698713,2148.48692727159,4143.5935000449,7552.08737428981,6082.83149688877,11545.0383739961,13753.854967003,11935.9290427512,12133.6147049722,16917.0965182725,22577.7543516699,22012.739495446,27541.0566124977,24322.8059305339,17799.1183915557,333.84209160757,3796.9102700759,5937.41553313019,6452.74011267565,17496.3775613336,21593.8045718425,3060.78604392337,22421.4533165008,13593.6433826179,7966.51022903714,25521.8252298538,26584.2543063937,29190.0198750404,13090.7438076548,20459.1015647982,5989.36702412021,11413.0445802081,25186.61148625,45984.1948466105,1906.20717865872,20341.0508581949,2204.8971442831,3130.43853644151,11244.2068551887,10283.5530931742,4998.01262307016,19968.0310741815,2613.4000951997,10033.9273433515,3883.00154159125,17275.9028346572,15791.5367518575,17848.5175802903,16521.8470724108,4863.63385645144,1633.96700718248,2654.8580930786,4124.02977594088,17848.4778434335,7536.78243356392,8358.21021340578,18914.5550927147,14770.7569239617,6905.27505300392,9619.0115580018,42766.2641372681,25299.4428742033,15632.5436450941,12212.2701912297,8761.93643998395,9466.51723048661,6009.68457837665,28666.2287741775
109369.288532804,36227.1870792675,7104.89639919624,29333.3506992189,28106.7141158581,37502.900410959,16040.2811876502,8133.69616338384,37855.720335111,64548.8746776301,25497.5884967488,20195.19858283,41211.6688085552,26012.0949342896,18277.8518604136,10165.2169377228,17043.5655949705,40184.6027857424,1081.45394908451,2394.2028027901,4250.61123355385,7586.77542247099,6101.1607015254,11714.9149558632,13982.3332154774,12505.2052122394,12280.8222645581,17338.8465304172,22785.4585611913,22191.643596652,27677.8995878091,24735.7050073971,18690.4467198484,386.978546838334,3893.66194503673,5980.68043052481,6497.74013449461,17953.7081544639,22689.0808586944,3384.07592509338,23052.9343999127,13750.5210848294,9400.60190751788,26156.9359680141,27314.789344064,29659.0054980834,13334.1624468002,20756.6435338006,6292.70259872667,11970.9885417093,27165.4372485051,46888.2031167848,2455.57219298222,21213.1123234695,2458.01829649258,3232.50852814759,11471.7876145117,10340.0465240243,5240.40047058393,20133.2195337784,2638.08670225914,10748.3229804108,3920.1248839256,17661.9167944005,15806.9581565955,17968.1088012457,16680.2484249789,5819.30740443245,1688.12956021278,2672.08796635619,4172.43742971658,18329.4217638307,8609.58209843253,8366.93938653008,20793.4566866256,15037.0550560091,6907.13748537062,10110.3636937902,45300.8216276076,26932.2245603109,16302.7684639458,12394.8037932102,8918.38814633741,9474.42602271598,6021.43070176092,29305.8800834111
109295.670607428,36384.781268863,7103.29384956695,29228.1040694928,28097.1288964858,37466.0862794216,16036.6864003412,8124.97900720418,37829.0138879009,64122.1409179084,24909.3913824824,20104.9862487401,41155.4214199688,25979.0906437817,18367.4582325043,10177.5667303113,17057.870139777,40193.0614853115,1078.61646260228,2296.53198265843,4015.90912233782,7601.79554737372,6091.4033483974,11602.2161063975,13889.2059005542,11954.1405470327,12266.9242469001,17104.4500340517,22669.8885966397,22191.3594320754,27664.5258072908,24698.516842626,17560.8996952155,381.343257590255,3882.55928451859,5976.85403270053,6491.07714391907,17515.9938895276,22443.0866147991,3194.03498991695,22149.4623364402,13668.0218666253,8133.40297887148,26025.1738676965,27107.1142828418,29604.6459381302,13332.99031393,20745.5766939478,6224.5485267269,11891.7902457789,26928.294392194,46473.2310005827,1420.24426592552,21070.0309098735,2436.64997820003,2895.2217732768,11405.6085939271,10344.5982869411,5085.30042603432,20032.1121437605,2613.76732553111,10271.3934220646,3919.444832407,17312.7585738772,15808.3932816344,17951.4057604843,16684.0398016036,4684.00406015967,1684.18307643215,2668.27053746329,4166.7729833253,17683.4654097517,8395.26680185803,8366.10091269505,19502.698382138,14787.8665266583,6907.56940553582,10024.0262605707,44970.3877448663,25385.6955737564,16212.6358093809,12282.7991897775,8759.05921594932,9474.61798580107,6004.74462326038,29120.9525952656
107369.609341337,35687.3840380328,6681.20332477808,27490.5201708728,26879.2712375191,36159.4188871662,15507.2946853598,7709.9752767218,36229.7222507247,63709.980256994,24568.1437840001,18287.6042997668,38308.4475094876,24746.7982233871,17982.8655503903,9281.87165122423,16670.1161783007,39028.6848353593,1011.49110133083,881.252263811627,3715.85347689493,6877.47753305633,5810.35390663382,10451.2225902607,13324.9377047189,10995.4916888183,11677.8969165636,16138.7932713454,21482.1952257284,20888.010793416,27147.8159634314,23686.5061296824,16071.4653731206,154.364624630733,3556.04202909392,5709.82056504066,6062.96561474637,15973.2747204436,20181.383843017,2446.11218152345,21963.4978651887,13386.1547842619,5143.94103295299,24829.8340640782,25463.9640256281,27712.7805902271,12279.9289386396,19418.1736392462,4757.70404988,10221.2127565164,20104.8553488927,44750.4091643235,757.936154022189,20525.5557342196,731.307573444065,2516.53687288113,10649.6143132555,9616.74632713813,4934.11799973665,19141.7769730229,2043.54264000159,9292.90713374585,3540.19920464077,16373.3846854905,14910.1319465066,17601.0583882358,16093.5072348128,3368.59421175641,1426.62108569963,2541.85533152488,3841.83842447933,15693.9230351672,7314.00872077006,8303.02067703732,16245.2519713097,14171.3639293057,6876.31104021704,7308.52401744933,37034.0265206577,23871.0313444297,14883.549511829,12021.7246724999,7412.31747403641,9105.0019827836,6006.9476247185,28194.1409755096
102678.989332008,35400.1556291697,5867.0868157184,25581.9556775515,25577.8850777628,35748.2491699405,15094.5399078288,7240.90275838129,35361.412073517,62219.689365547,23759.0548024508,16749.0770619986,37137.5607052504,24372.0410100354,16373.1587069775,9545.33604297591,16313.353480708,38843.8073395431,972.757669407689,520.3106007226,3584.89946796777,6872.86575718459,5826.88243569178,10378.1129404888,12698.6056550436,11012.787089603,12058.6265538351,15402.6017429287,21133.4994019072,20860.5445535858,26678.0560531625,23510.8710930381,14641.7012823905,90.3200722157658,3221.47801917461,5681.37347092733,6078.3097157856,16351.4924885838,19697.2481895449,2311.66788924786,19539.4863916079,13341.5744623454,4148.95366872815,23544.4339424824,24700.0159050761,26154.8220741218,12264.7502956587,18300.2576486556,4892.29699036068,9951.6513332678,16800.948614613,43928.9796610374,290.632843673474,19447.0148329541,529.456835927354,2479.52379955686,10571.1221693239,9570.35718607631,4588.06026468154,17105.6799725433,2375.82586758245,9472.8364275883,3818.88398511985,15946.7376338439,15300.6172775067,17451.850437553,15631.6934717409,2201.0620105653,1321.36766046165,2573.6803267683,3930.28227238718,16152.4136747667,6642.15247162512,8288.29703661645,15235.4219338423,13061.6633907289,6893.98858526825,7758.14598265824,33098.0778386348,22135.7855669655,15122.8569229064,10254.5836770957,8058.85788443877,9116.43913131574,5933.02547649816,28441.289822662
108895.65262426,35945.23511999,6918.18216851819,29184.5979117462,27685.7769567017,37016.3092056154,15358.3944795536,8115.26785206645,37040.037510524,64488.8501220159,25286.8811542955,19896.7059830093,40597.8913308624,25880.1281749508,18300.2041163931,10127.4147115202,16680.6717063247,40137.1281447104,1022.01851988089,1273.32857574769,4043.03373118808,7473.7637277107,5932.03520958865,11582.4448572658,13912.6761911901,12050.2579648822,11962.9691929298,16903.9718435335,22260.0423971969,21414.4632934738,27541.2254435685,24251.8924419675,17722.6838849256,267.386251433112,3873.5043965677,5960.79259675719,6472.04220335879,16700.7887100526,22530.4957779188,3369.29474272672,22991.7140146651,13553.3118704103,8155.36632002403,26007.5472097626,26698.5687610991,29233.1746749674,13284.6609544936,20576.3132675058,6160.01777799125,11668.7920670118,22896.4864261554,46761.0391233815,1941.91594093564,21141.9095423219,1331.01712584696,2926.16861948468,11272.662739608,10234.8783718445,5225.93903424375,20063.4913606581,2465.83524581976,10335.8713527799,3641.94804079373,16980.7450114239,15512.8010558117,17942.4406601243,16046.0519699818,5482.58156621413,1569.45132869744,2667.81646177114,4152.995420217,17699.1082965884,8583.62432844355,8317.96629199968,19547.6313472996,14451.8782204916,6882.78136400937,9794.10811706644,40751.2686438393,26321.816965971,15988.7119839685,12351.7260428648,8569.85007353403,9312.92629757884,5997.02564421634,28893.2864529108
108478.845153506,36333.5810721479,6909.14842714928,29302.3868111307,28102.5719201453,37475.2607079665,15882.0031941457,8093.36930670508,37202.0509814508,64437.1036414057,25347.9888134548,19980.20903009,41033.0662175585,25959.4908788311,18360.3690778324,10162.4211763126,17015.6887731545,40222.7449962502,1081.31437294022,2322.71834763302,4061.38897484273,7599.88412616943,5932.5564407921,11708.5397943765,13975.6847727527,11876.0851116183,12225.8557781939,17101.4137292756,22535.2081220159,22192.5114952049,27673.320138454,24733.6404261761,18433.709947141,379.676145183446,3868.66632195574,5972.91899406945,6439.96893882577,17378.0398263147,21817.6052261545,3277.0569770409,22957.0495077585,13678.28521342,9391.48020234203,26023.393385409,26843.1644554129,29356.8627984618,13329.9639241616,20300.2395213162,6103.61737575463,11847.3898422904,26571.2060144873,46853.0958496733,2061.25334316344,21132.0876645606,2456.64632768725,2965.93069613364,11407.4055356189,10356.5193707368,5232.07429758605,20142.7136133429,2421.13594400289,10107.9502186368,3876.68360410683,17213.0065829027,15774.6834092173,17964.3355620361,16685.7496150499,5654.95264944178,1687.82023506833,2642.53486738051,4152.08328550647,16978.7071802119,8513.4585188356,8372.63678018644,20783.975649108,14394.9761511112,6904.70324911049,9489.70195678561,44567.5404130109,26433.3280718717,16227.50580254,12382.3009217281,8703.02211057284,9470.53346963739,6021.23598166235,29269.7972444724
107358.589538585,36291.354035656,6570.58733921452,27884.2803614136,26751.5983247321,36930.4855017629,15692.9887113019,7142.2160001548,35797.6523746101,61973.1067970054,23944.3820980475,16427.6022341371,34522.122589132,24570.2831002575,13391.0448892149,10121.8184472963,16159.426534199,38494.2906220821,976.526161539433,643.468822593844,3980.36253804037,7543.25749666245,6000.6001119527,11337.4641209977,13293.5480237959,11681.4425512227,12068.324832278,16482.207404796,22337.8017322763,21505.2255161182,26701.8934844962,24439.7540949145,13204.1581005307,41.181750303349,2992.93367990087,5741.44737209744,5868.76946618948,17149.7211338162,19701.6319628127,2182.34675463765,19590.4087727129,13124.5439913963,4196.45751413588,22317.1924411454,22289.4948772935,25528.2249166739,12339.2747408419,15302.8521316063,4724.03412170185,10094.312759843,14927.121607897,41932.6956495671,628.69456908012,20134.8384044865,593.063077103788,2857.12412768723,10693.7315428569,10236.8968913434,4490.14561569021,19501.6023640611,2525.43220339208,9879.30117464492,3833.23747039128,17335.4732979549,15471.8668528036,16928.1311729114,16505.1267818438,367.814476480322,1210.08617097839,2599.94840839833,3794.25044717824,17897.6763459539,6031.27710361168,8042.77958061882,14363.3658778536,13658.8724253705,6831.63022448047,7896.12693427767,29711.547550549,22744.6469276328,14305.4723839059,11536.3368647089,7890.47915373917,9045.2012324658,5828.28720603154,26572.8462989109
